slowly over many generations M 240
slowed down their activities M 102
slaves from other plantations D 504
slaves were also sacrificed D 202
slaves were most profitable D 198
slaves have been introduced D 176
slaves having been introduced D 138
slaves were more productive D 136
slaves left their plantations D 136
slopes have been determined D 128
sleeping cars were introduced D 122
slaves were more frequently D 118
slaves were also considered D 98
slopes have been cultivated D 96
slaves from their plantations D 96
slaves were more profitable D 92
slaves were more profitably D 88
slides have been identified D 86
slaves have been manumitted D 86
slaves were more serviceable D 82
slaves were early introduced D 82
