slow because there were M 227
slow descent into hell M 137
slow process even when M 134
slow process taking many M 106
slow degrees like buds M 106
slow journey into town M 82
slow degrees from their M 80
slip betimes away from D 684
slip quietly away from D 462
slip quietly back into D 458
slid smoothly away from D 338
slip systems have been D 248
slow learners have been D 210
slip quietly away into D 196
slip quietly into their D 189
slid smoothly back into D 166
slid smoothly along over D 138
slid quietly back into D 134
slung loosely over their D 130
slow learners will have D 100
slid quickly away from D 100
slid quietly away from D 98
slow coaches down here D 84
slid quickly back into D 82
slum dwellings have been D 44
