skipped rocks across the M 128
skillet large enough to D 3030
skilled labor needed to D 408
skilled labor should be D 296
skilled people needed to D 168
skinned people should be D 149
skilled labor needed in D 148
skewers thrust through the D 114
skilled staff needed to D 110
skilled labor market in D 110
skiffle group called the D 109
skilled people should be D 100
skilled labor market is D 100
skidded right across the D 100
skinned perch through the D 98
skilled social worker to D 92
skilled labor supply is D 92
skyline drive through the D 90
skilled labor tended to D 88
skilled labor supply in D 80
skilled labor instead of D 80
skinned people called the D 40
