skip this necessary stage M 118
skin was stretched tight D 1370
skin and digestive tract D 692
skin was perfectly smooth D 362
skin with petroleum jelly D 338
skin that tightened again D 188
skin was perfectly white D 178
skin was unusually white D 128
skin was alabaster white D 128
skin and surrounding parts D 122
skin was presently afire D 106
skin with prominent veins D 88
skin and prominent veins D 86
skin and excessive sweating D 85
skin was extremely white D 82
skin was unusually light D 50
