harsh criminal penalties for M 224
happy memories associated with M 220
happy memories connected with M 168
harsh realities associated with M 108
habit patterns associated with M 94
harsh climatic conditions and D 880
harsh economic conditions and D 752
harsh physical conditions and D 296
harsh economic conditions that D 257
harsh climatic conditions that D 134
hands actually displaced and D 116
harsh climatic conditions are D 98
haven symphony orchestra and D 86
happy moralist concluded with D 86
