separately from everyone else M 134
securities were acquired from D 1068
securities were acquired other D 194
settlement some distance away D 160
securities laws governed their D 126
segregated into separate areas D 124
segregated from everyday life D 116
securities have actually been D 114
settlement some distance from D 106
securities were actually sold D 100
sentiments were thundered from D 94
securities were excluded from D 90
securities were exempted from D 86
sentiments have recently been D 82
segregated from everyone else D 41
