selfishness will imagine all M 194
settlements were founded and D 498
settlements were located near D 460
settlements were carried out D 434
sensitivity test results are D 276
sensitivity will increase with D 218
sentimental love stories and D 204
separatists only because his D 198
secretaries help prepare and D 164
settlements were smaller and D 154
settlements from acquiring any D 144
secretaries were charged with D 136
sentimental bond between them D 132
settlements have existed for D 126
settlements were planned and D 122
settlements into contact with D 122
settlements were illegal and D 116
sensibility will gratify him D 116
sequestered from contact with D 111
settlements there resumed and D 108
secretaries were elected for D 106
settlements were started and D 102
settlements were located and D 100
sensitivity during infancy and D 100
settlements were smaller than D 98
settlements were founded for D 92
settlements were pointed out D 90
settlements were founded with D 86
sensitivity also directs his D 86
sedimentary mass balance and D 83
settlements were planted and D 80
settlements were planned for D 80
settlements were founded near D 80
