tenant transfers less than M 109
teaches political theory and D 382
temper naturally cool and D 246
tenure different from that D 240
temper different from that D 228
temper naturally warm and D 136
tender influence into his D 130
teacher educators have not D 120
tender influence upon him D 114
temper yesterday made him D 112
tension different from that D 104
temper inherited from his D 95
terror inflicted upon them D 88
tearful happiness upon her D 88
tenets instilled into him D 86
