literally more numerous than M 276
liberties have produced them M 172
liberties union reported that M 159
liberation from tradition and M 158
liberation from original sin M 158
listeners were informed that M 148
libraries were selected for M 146
libraries were provided with M 146
listeners were provided with M 130
liberation from personal sin M 130
liberties union declared that M 124
listeners were reminded that M 114
liberties were restored and M 110
limitation when compared with M 104
libraries have received for M 104
libraries were intended for M 100
libraries were provided for M 98
liberties union believes that M 95
liberation from authority and M 92
libraries were supplied with M 88
libraries were designed for M 84
lifestyle among subjects with D 1534
libraries were screened with D 292
liberation from economic and D 284
literally been complied with D 234
licentious jest pollutes his D 192
litigation will obviously not D 174
liquidate their business and D 164
lifeboats were launched and D 146
licentious talk entirely goes D 138
libraries were screened for D 126
listeners very commonly did D 124
liquidate their property and D 122
liberation army soldiers and D 120
liberation from drudgery and D 118
liberation from physical and D 98
libraries were screened using D 90
liberties been redeemed and D 88
liberation from apartheid and D 88
liberation army soldiers who D 86
