limit towards which endless M 556
links between civil society M 552
light division under general M 345
links between basic research M 272
linear relation holds between M 266
lived together quite happily M 246
links between human capital M 188
lived several miles distant M 182
light perhaps still remains M 150
linear equation whose solution M 142
linear program whose solution M 126
light sources light sources M 122
lived several miles outside M 114
links between water quality M 112
light everything seems equally M 112
light sources which produce M 110
lived together after marriage M 104
links between group members M 104
linear relation found between M 104
liver function tests usually D 567
liver function tests including D 518
lines between social classes D 470
links between social capital D 424
links between social support D 325
links between social science D 286
liver function tests revealed D 235
liver function tests suggest D 192
liver function tests following D 166
liver function tests include D 162
liked courage above everything D 154
lingering scruple still forbids D 150
liver function tests because D 144
liver failure renal failure D 136
links between rural poverty D 136
links between basic science D 126
links between social justice D 124
light cavalry under general D 124
light cavalry under captain D 108
liver function tests improve D 104
links between urban centers D 102
links between social factors D 102
links between human behavior D 98
links between urban centres D 92
lines sharply drawn between D 92
liver function study results D 88
links between trade unionism D 88
