lie entirely upon you M 361
lie concealed from our M 253
lie directly over one M 158
lie directly over each M 140
lie concealed from god M 130
lie concealed here for M 112
lie anywhere else than M 89
lie isolated from one M 88
lie separate from each M 82
lie detector test and D 2343
lie detector test that D 479
lie detector test was D 477
lie detector test for D 364
lie detector test with D 261
lie detector test are D 215
lie detector test but D 161
lip quivered when she D 140
lie detector test had D 135
lip trembled when she D 122
lie detector test may D 121
lip quivered like that D 110
lie detector test has D 95
lie prisoned from our D 94
lie detector test can D 92
lie sauntering jack and D 88
