list categories and criteria M 597
like structures are present M 582
live understood this question M 426
live everywhere and nowhere M 336
like philosophy and history M 265
line measurement and control M 263
like philosophy and religion M 243
lift coefficient for maximum M 227
like substances are present M 210
like literature and history M 200
live virtuously and happily M 194
like substances are released M 187
life experience and current M 181
lift coefficient with respect M 170
like structures that contain M 169
like structures are visible M 161
lift coefficient for minimum M 157
life experience and culture M 156
life originated and evolved M 152
line maintained its position M 136
life activities are defined M 133
like mathematics and language M 120
life activities are carried M 119
like translation and rotation M 105
like projections are present M 100
living arrangement for elderly M 96
like mathematics and natural M 94
living experience that allowed M 93
like mathematics and history M 88
live productive and meaningful M 82
like projections may contain M 82
like literature and religion M 82
like structures that project M 59
line management and workers M 48
like privileges and freedom M 45
like structures are usually M 43
life experience and history M 42
life expectancy for females D 2164
life expectancy and quality D 2134
life werewolves and factual D 1730
life expectancy and overall D 1219
like mathematics and science D 996
like mathematics and physics D 850
life expectancy was shorter D 794
life expectancy has dropped D 744
life expectancy for persons D 696
life expectancy has doubled D 524
life expectancy and reduced D 492
line depreciation for reporting D 472
life expectancy and declining D 472
live righteously and soberly D 462
like cigarettes and alcohol D 445
like adjectives and adverbs D 442
life expectancy gap between D 431
line depreciation and average D 395
like allowances for persons D 388
life expectancy was reduced D 376
life expectancy and improve D 374
line conventions and lettering D 353
life expectancy and general D 322
life expectancy was increasing D 308
like philosophy and science D 293
life expectancy has steadily D 270
like relativity and quantum D 269
like deliveries may warrant D 268
life expectancy and average D 221
life expectancy was limited D 216
life expectancy was between D 208
life expectancy and maximum D 207
life expectancy than females D 206
life expectancy and decreasing D 200
like phosphorus and arsenic D 186
life expectancy and decrease D 181
live attendance and licensing D 172
line depreciation for buildings D 162
like copyrights and patents D 160
life expectancy and medical D 160
life expectancy and because D 154
life expectancy for infants D 150
life expectancy and increasing D 150
like mathematics and foreign D 148
life expectancy has brought D 144
life culminated are usually D 144
life expectancy was seventy D 143
life expectancy with respect D 142
line representing this relation D 135
life expectancy and improving D 128
line representing this equation D 124
life expectancy may increase D 124
life expectancy and increase D 124
life expectancy and highest D 122
life expectancy are related D 120
living compatible with decency D 118
life expectancy had dropped D 118
life expectancy and primary D 116
like molybdenum and tungsten D 112
like sentiments with himself D 111
life expectancy was measured D 106
life experience and behavior D 104
life expectancy and lowered D 104
like witchcraft and sorcery D 102
life physically and morally D 100
life expectancy for newborn D 100
like buttercups and daisies D 99
life expectancy has climbed D 98
like securities are offered D 96
life surroundings and rewoven D 96
life expectancy and decline D 95
like grammarians and critics D 94
like liberality and justice D 92
line represents one patient D 90
life expectancy was perhaps D 90
life expectancy and chronic D 90
like affirmation and negation D 88
life expectancy and national D 86
life expectancy was similar D 84
life expectancy was roughly D 84
live cheerfully and socially D 83
life prolongation for persons D 82
life expectancy far exceeds D 82
life expectancy had climbed D 80
living vegetables and animals D 56
like literature and science D 56
line depreciation was assumed D 42
