enough consideration is given M 644
enable participants to apply M 468
enough concentration to cause M 272
enable participants to share M 268
enable participants to engage M 150
enough intelligence to grasp M 144
entire independence of action M 140
enough intelligence to carry M 134
enough similarities to allow M 130
ensure availability of water M 128
enough significance to merit M 116
enable participants to build M 114
entire determination of value M 112
enough documentation to prove M 110
entire independence of every M 108
enable communication to occur M 102
enable participants to offer M 94
entire independence of party M 92
enable participants to focus M 92
enough independence of action M 84
entering kindergarten or first D 633
enters kindergarten or first D 421
ensure participation of women D 314
engines manufactured in model D 314
energy requirements of sheep D 292
enable organizations to create D 286
energy requirements of rural D 276
energy requirements in terms D 272
entire acquiescence in every D 244
enzyme polymorphism in plant D 240
energy requirements of growing D 234
energy requirements of human D 226
ensure availability of funds D 222
ensuring participation of women D 220
energy requirements of adult D 199
enough ratifications to enter D 190
energy requirements of cells D 188
enable organizations to adapt D 170
energy expenditures of women D 156
engaged successfully in farming D 154
energy distributions of gamma D 149
entire neighborhood in which D 140
energy requirements of women D 138
ensure participation of people D 130
energy requirements by about D 128
enable stockholders to avoid D 128
enabling householders to plant D 126
energy astrophysics as light D 124
energy requirements in healthy D 118
energy requirements of obese D 114
energy requirements of people D 112
enough functionality to allow D 108
energy requirements in order D 104
enough carbohydrate to spare D 102
enable organizations to build D 98
energy requirements of working D 96
entire subordination to light D 94
energy requirements in rural D 92
ensure participation of local D 90
entire disappearance of lofty D 84
energy requirements of large D 84
entire subordination of thinking D 82
enduring relationships in which D 44
