organisations reported that they M 88
organizations reported that they D 676
organizations interact with each D 316
organizations interact with one D 200
organizations suggests that they D 190
organizations indicate that they D 190
organizations competed with one D 190
organizations provided them with D 178
organizations competed with each D 162
organizations declared that they D 142
organizations believed that they D 128
organizations selected for this D 102
organizations provides them with D 102
organizations discover that they D 94
organizations probably can not D 88
organizations provided that they D 86
organizations wherever they are D 84
organizations qualifying for tax D 48
organizations eligible for tax D 41
