draw any considerable aid M 460
draw out similarities and M 182
drop all communication with M 110
drug was administered for D 538
drug use clarification act D 478
drug was discontinued and D 436
drug was administered and D 376
drug was administered with D 258
drug and modernization act D 228
drew his handkerchief out D 224
drop off exponentially with D 181
drug use inconsistent with D 174
drug being administered and D 170
drop his handkerchief for D 166
drew his handkerchief and D 164
drug was discontinued for D 150
drug was manufactured and D 136
drew his illustrations was D 116
drew his illustrations and D 100
drew him irresistibly and D 84
