army strategic air forces M 1012
army community and family M 392
areas concerned with speech M 280
army disturbed him greatly M 234
areas associated with speech M 224
areas associated with memory M 194
army dissolved and ruined M 190
areas associated with emotion M 172
areas accounted for almost M 160
areas previously not served M 142
arms agreement was signed M 137
areas associated with various M 118
areas associated with higher M 116
areas associated with visual M 104
areas available for public M 102
areas surrounding our cities M 98
areas surrounding big cities M 96
army continued its attack M 90
areas available for future M 90
army conducted with wisdom M 88
areas concerned with visual M 86
areas concerned with memory M 80
arms stretched out before D 2018
army continued its retreat D 1780
army commenced its retreat D 1262
arms stretched out toward D 1170
areas associated with native D 658
army disbanded and another D 530
arms stretched out behind D 520
arming themselves with sticks D 374
arming themselves with weapons D 292
arms stretched out across D 286
arts connected with building D 282
arms production and export D 258
army continued its flight D 256
arming themselves with stones D 256
arming themselves with swords D 250
army proclaims its martial D 246
army commenced its return D 246
arts knowledge and skills D 228
arming themselves with knives D 228
arming themselves with rifles D 216
arming themselves with nuclear D 194
arming themselves for battle D 180
arts requisite for carrying D 166
arms stretched out beyond D 110
arms transfers and nuclear D 109
arms scratched and bleeding D 103
arming themselves with modern D 96
army plundered and burned D 88
arms stretched out beside D 88
arts concerned with enduring D 82
army stretched out before D 82
areas associated with sexual D 82
arid mountains and plains D 44
