article specifically provides that M 88
aroused considerable interest and D 2660
aroused considerable attention and D 300
aroused considerable interest both D 250
artisan agricultural products and D 168
aroused international interest and D 160
aroused considerable curiosity and D 148
aroused considerable interest with D 142
aroused considerable interest was D 134
aroused considerable interest for D 126
aroused considerable suspicion and D 110
aroused considerable enthusiasm and D 102
aroused considerable interest but D 82
arouses considerable interest and D 41
