areas outside government control M 206
arms against legitimate princes M 120
arms control negotiations between D 1366
arms control agreements between D 966
army medical bioengineering research D 576
army general lieutenant general D 264
army medical department research D 186
army medical department reports D 176
army medical department journal D 120
arts council individual artists D 118
arms control negotiations because D 114
arms control agreements because D 112
arts marketing information service D 90
arms control agreements involving D 88
