argument is undoubtedly true M 178
articles of refreshment were M 164
argument is constructed from M 160
argument is occasionally made M 158
argument is inseparable from M 148
argument is transformed into M 136
arguably an improvement over M 90
argument is necessarily more M 80
argument of enlightened self M 42
articles of capitulation were D 8558
articles of organization must D 3116
articles of merchandise were D 1146
articles of partnership were D 718
articles of organization were D 704
articles in publications such D 642
argument in syllogistic form D 630
articles of merchandise from D 578
articles of pacification were D 506
articles of manufacture were D 280
articles of manufacture from D 272
articles of organization have D 262
articles of capitulation upon D 236
articles in publications like D 192
articles of organization form D 178
articles of merchandise coming D 170
artistic as distinguished from D 162
articles of organization will D 162
articles of merchandise have D 158
articles of capitulation must D 154
articles on sociological theory D 150
articles of merchandise made D 150
articles of capitulation came D 146
arguably be distinguished from D 138
arteries of corresponding size D 134
articles of partnership upon D 122
articles of partnership must D 116
articles of subsistence have D 112
articles of merchandise such D 112
articles in publications ranging D 112
artifice is distinguished from D 110
articles of subsistence from D 110
articles to publications such D 108
articles of ratification from D 106
articles of merchandise sold D 102
argument to syllogistic form D 100
articles on organization theory D 98
articles of capitulation from D 92
artisans to manufacture gold D 90
articles of subsistence were D 90
articles of partnership make D 88
argument as distinguished from D 88
articles on occupational health D 86
armature is transformed into D 86
articles of merchandise will D 84
