cleanse your conscience from M 1308
clearly take precedence over M 538
claims take precedence over M 459
client will ordinarily hold M 150
client must understand what M 136
clocks were introduced into M 116
clouds have disappeared from M 94
clearly taking precedence over M 92
clothes were completely torn M 84
clearly took precedence over D 856
clergy were prohibited from D 695
clearly drew inspiration from D 252
claims have frequently been D 186
closed shop agreements were D 145
clothes were beautifully made D 142
clones were identified from D 138
clouds have discharged their D 118
claims took precedence over D 118
clones were classified into D 110
cliffs rising vertically from D 110
clergy have considered your D 108
clergy their accustomed dues D 103
clothes were spotlessly clean D 102
clearly have explicated their D 100
closed shop agreements have D 95
clearly took inspiration from D 92
clerks were prohibited from D 88
claims were frequently made D 88
cliffs rise vertically from D 84
claims most frequently made D 81
