clearest proof could suffice M 162
climate change could increase M 152
clients whose first language M 112
closely under royal control M 110
classes which stand between M 104
climate change under control M 98
closely under state control M 88
clauses which either contain M 88
classes whose social slavery D 314
cleavage takes place between D 310
climate change would increase D 298
cleavage stage human embryos D 250
classic fable above alluded D 154
cleavage stage mouse embryos D 150
classes which grade highest D 112
climate change would require D 92
clauses which would prevent D 84
