eastward every morning from M 88
earliest times people have D 970
easterly winds which blow D 454
earliest times right down D 259
earliest times human beings D 200
earliest known dated work D 196
earliest stone tools were D 194
easterly trade winds blow D 159
earliest known human beings D 142
easterly winds blowing from D 136
easterly winds which have D 132
earliest trade unions were D 126
earliest times women have D 116
easterly trade winds from D 111
earliest times until well D 100
earliest works which have D 94
earliest known times down D 90
earliest known works date D 84
easterly winds blowing over D 40
