adventurous moving capturing the M 524
adjustments made according to M 420
adjustments were applied to M 328
advantageous when applied to M 286
adventurers were allowed to M 268
administers great comfort to M 254
adventurers were beginning to M 242
adjustments into account in M 228
adolescents were exposed to M 220
adolescents have focused on M 210
adolescents aged fifteen to M 188
adolescents were allowed to M 180
adjustments will usually be M 174
adjustments made between the M 174
adjudicated upon between the M 164
adventurers were exploring the M 146
additionally into account the M 140
adolescents were similar to M 138
adventurers were brought to M 134
adjustments were limited to M 128
adolescents will respond to M 126
adventurers were tempted to M 122
adolescents will attempt to M 122
adolescents look forward to M 120
adjustments take account of M 116
administering their affairs in M 114
adjustments also increase in M 112
adjudicated upon according to M 112
adventurers from embarking in M 108
adolescence were related to M 108
administering such comfort as M 108
adolescents aged thirteen to M 106
adjustments must usually be M 104
adolescents were related to M 102
adjustments were related to M 102
adventurers were induced to M 100
adjustments will increase the M 100
advancement were blocked by M 96
adjustments made because of M 94
additionally take account of M 94
admittances upon descent in M 93
adventurers were reduced to M 92
adjustments were subject to M 92
adjustments have reduced the M 92
adventurers were preparing to M 84
adolescents were capable of M 84
advantageous also because it M 80
adventurers were obliged to D 318
advertisers were beginning to D 292
adversaries were obliged to D 274
administering laws enacted by D 240
adversaries were divided by D 176
adjudication only between the D 142
administering those portions of D 128
adventurers were dazzled by D 126
adversaries were reduced to D 122
adversaries will attempt to D 116
advertisers have adopted the D 106
adversaries were capable of D 100
advertisers were allowed to D 98
addressable main storage by D 95
adversaries have touched the D 94
advantageous will conduce to D 88
advertisers were unwilling to D 82
adversaries were preparing to D 82
