twenty apologies for being M 320
twelve disciples who had M 290
twenty centuries ago and M 280
twelfth centuries did not M 240
twelfth centuries was not M 208
twelfth centuries and was M 194
twelve traditions does not M 162
twenty centuries ago that M 149
twelfth centuries and that M 135
twelve sentences with men M 128
twelve disciples with him M 126
twenty centuries ago was M 110
twenty perfectly new and M 108
twelve disciples did not M 102
twenty centuries she has M 100
twelve daughters and six M 96
twenty prisoners who had M 90
twenty gentlemen who had M 90
twelve gentlemen who had M 90
twelve disciples who are M 90
twelve disciples and one M 90
twelve countries that had M 90
twelve centuries ago and M 90
twelfth centuries and then M 90
twenty centuries ago had M 86
twenty gentlemen and two M 84
twelve disciples that they M 84
twelve countries that are M 84
twenty centuries has not M 80
twelve battalions and ten D 256
twenty battalions and ten D 158
twelve signifies all things D 136
twenty battalions for his D 104
twelve ministers who had D 92
twelve employees who are D 88
twelve battalions and six D 86
twisting staircase that led D 48
