feel what wretches feel M 4262
felt much relieved when M 1210
felt their children were M 1148
feet were straight feet M 1000
feel like everyone else M 780
fell over backward into M 696
fears were increased when M 648
feel like somebody else M 534
feel less isolated from M 468
feed upon immortal truth M 462
feel their children will M 454
feel like failures when M 448
fell only slightly from M 426
fell into complete ruin M 426
feed their families from M 418
felt very relieved when M 406
felt some surprise when M 366
felt like somebody else M 366
feel less threatened when M 365
fell into disgrace when M 358
felt like everyone else M 345
feel more isolated from M 344
feel their distance from M 336
fell face downward into M 322
feel some generous joys M 310
felt more isolated from M 302
felt very isolated from M 296
feed their children well M 290
felt more detached from M 286
feel their children have M 284
fell face downward upon M 282
feel like expressing your M 272
feed their families during M 266
felt some distance from M 258
fell some distance away M 257
felt their problems were M 254
felt their concerns were M 254
fell into contempt among M 254
fell over backward onto M 250
feel more detached from M 250
fell some distance from M 248
felt their exclusion from M 246
feel your kindness very M 228
feel some surprise when M 228
feel their children need M 227
feel like withdrawing from M 224
feed their children when M 222
fell only slightly during M 218
feel your presence here M 218
feel very isolated from M 216
felt very detached from M 208
felt their families were M 206
fell over backward from M 202
fell most severely upon M 202
fears were relieved when M 198
feed their children from M 192
fell more directly upon M 188
fearing some movement among M 184
fell over backward when M 180
feel your students need M 180
feel their children tread M 180
feed their inherent love M 180
felt their isolation from M 178
feel more powerful when M 178
felt their positions were M 176
felt their marriages were M 170
fell into disgrace during M 170
fell away abruptly into M 166
feet were securely tied M 166
feet from property line M 166
feel some distance from M 166
feel safe expressing their M 162
felt like everyone knew M 160
feel such refreshing airs M 158
feel less stressed when M 158
feed their families well M 158
feet very severely once M 154
feel like children just M 154
felt their original meaning M 146
feel like somebody just M 146
feel very virtuous when M 144
feel their exclusion from M 142
feet like everyone else M 141
feel more separate from M 140
feed data directly into M 140
feed back directly into M 140
felt their services were M 134
felt more cheerful when M 134
felt their students were M 128
felt their programs were M 128
felt more separate from M 128
feel very threatened when M 128
feel very detached from M 128
feed their children during M 128
feet have wandered from M 126
feed their families when M 126
felt some distance away M 124
feet were entirely bare M 124
feel very separate from M 124
feed back received from M 124
fell into disgrace over M 122
fell back somewhat from M 122
fell from idleness into M 120
feel when somebody else M 120
felt only slightly less M 118
fell into confusion when M 118
feel your presence when M 118
feed their children more M 117
felt like withdrawing from M 116
felt less immediate need M 116
fell away entirely during M 116
feel their concerns have M 114
feel safe anywhere else M 114
feel much relieved when M 114
feel like somebody among M 114
felt these children were M 112
felt their partners were M 112
feel your kindness more M 112
felt very grateful when M 110
feel more cheerful when M 110
fell into disputes among M 108
felt only slightly more M 107
feel their presence when M 106
felt these problems were M 104
fell into confusion from M 100
feet were terribly cold M 100
feel your kindness less M 100
feel what everyone else M 100
feel their children were M 100
feel less isolated when M 100
fears were probably well M 99
fell some distance down M 98
fell from slightly more M 98
feel their presence here M 98
felt more relieved when M 96
felt less threatened when M 96
feet were obtained from M 96
feel more positive when M 94
feel best describe your M 94
feed their families more M 94
felt their presence like M 92
felt much surprise when M 92
fell very severely upon M 92
feel like strangers when M 92
felt very helpless when M 90
felt their presence when M 90
felt more forcibly amid M 90
fell from slightly over M 90
fell down lifeless from M 90
fell back unspoken into M 90
feel your absolute best M 90
feed some unlawful lust M 90
fell into disgrace from M 88
fell face foremost into M 88
feet were terribly sore M 88
feel your presence there M 88
feel less excluded from M 88
feel very isolated when M 86
fell very slightly from M 84
fell down devoutly upon M 84
fell away abruptly from M 84
feel very helpless when M 84
feel more reassured when M 84
feed their families next M 84
felt very emotional when M 82
felt some curiosity upon M 82
fell away backward from M 82
feet were possibly even M 82
feet were beautiful upon M 82
feet clean straight stem M 82
feed their families back M 82
feel less helpless when M 81
feel your presence like M 80
fears were awakened lest M 80
feel their presence more M 47
feel great distress from D 686
fell into disfavor when D 614
fell into abeyance during D 608
fell into disfavor among D 528
fell into disfavor during D 476
felt some pressure from D 470
fell into raptures over D 466
fell upon fruitful soil D 430
feel some pressure from D 362
fell into abeyance among D 348
felt more enthusiasm when D 320
feel some misgivings when D 304
fees were deducted from D 294
feel very sensibly even D 282
fees were increased from D 272
felt their husbands were D 270
feel more pressure from D 256
feet were squeezed into D 250
fell into abeyance when D 242
feel more sensibly their D 238
fell into animated talk D 212
feel much dejection from D 212
felt more estranged from D 210
feel very insecure when D 204
feel more estranged from D 191
feet were inserted into D 188
feel very sensibly your D 182
felt some misgivings over D 178
feel like stretching your D 178
felt some misgivings when D 172
fell into disarray when D 158
feet were weighted down D 158
feel very sensibly their D 154
feel most sensibly your D 154
felt more pressure from D 152
feel much delicacy upon D 152
felt great pressure from D 148
feel less sensibly those D 148
feel less pressure from D 148
felt less pressure from D 146
fees range anywhere from D 144
fell into grievous sins D 140
feel great pressure from D 138
fell into circular rank D 134
feel less estranged from D 132
fell into delicate health D 130
fell into financial ruin D 128
feet were strapped into D 128
fees were demanded from D 128
feel their toothless gums D 124
feet came clattering down D 108
felt very insecure when D 102
fees have increased from D 102
feel more resolute till D 102
feel your physical body D 96
fees were actually paid D 92
fears were assuaged when D 92
felt their symptoms were D 88
felt among enormous mobs D 88
feet over congested areas D 88
feel like demigods among D 88
fees were received from D 86
fees ranging anywhere from D 86
fees have recently been D 84
fell into reveries from D 82
fell into disarray over D 82
fell over sideways from D 80
fell into disarray during D 80
fees were obtained from D 80
feel more enthusiasm over D 80
feet were daintily shod D 41
