fearlessly make known the M 718
feminists have begun to D 2676
feminists have tried to D 1944
festivals take place in D 1572
festivals took place in D 840
federation took place in D 532
feminists have taken up D 482
feminists were quick to D 472
feminists have found it D 446
fertility among women in D 444
fertility rate would be D 436
festivals take place at D 432
feminists were willing to D 384
festivals during which the D 350
feminists have drawn on D 347
feminists have taken the D 334
festivals take place on D 301
feminists have found the D 292
festivals took place at D 286
festivals taking place in D 272
fertility rate which is D 254
federation there would be D 230
fertility rate began to D 222
festivals were given in D 216
fertility among women of D 208
fertility rate stood at D 190
fertility rate since the D 190
fertility rate below the D 184
feminists want women to D 176
festivals were based on D 172
festivals came round to D 172
feminists have found in D 170
feminists have noted the D 168
fertility rate tends to D 166
feudalism gave place to D 160
fertility rate seems to D 160
festivals have sprung up D 154
fertility rate could be D 154
festivals were times of D 152
feminists have taken on D 152
feminists urge women to D 150
feminists also began to D 150
feudalism from which it D 142
feminists were aware of D 136
federation took place on D 136
fertility will begin to D 134
fertility took place in D 132
fertility rate based on D 132
festivals were added to D 130
festivals took place on D 130
festivity took place in D 126
festivals were known as D 126
festivals were given to D 120
fertility were found to D 120
feminists have shown the D 120
federation took place at D 120
fertility rate drops to D 118
feminists talk about the D 118
festivals were fixed by D 110
fertility well below the D 108
fertility among women on D 108
festooned from floor to D 106
festivals were given at D 102
fermented milk known as D 102
feminists were seeking to D 102
federation fell apart in D 102
feudalism took place in D 100
fervently hope never to D 100
fertility were found in D 100
fertility rate falls to D 98
feminists have shown to D 96
federation were drawn up D 94
festivals were under the D 90
federation there shall be D 90
fertility even though the D 88
feminists have taken to D 88
feudalism will appear to D 86
fertility also began to D 86
feminists were right to D 86
feminists were drawn to D 86
festivals have begun to D 84
feminists have given up D 84
fertility rate peaked at D 82
fertility cult based on D 82
federation into which the D 82
