neighbours have been astonished M 142
newspapers have been suppressed D 768
negotiations have been undertaken D 414
negotiations have been successful D 354
negotiations have been protracted D 226
newspapers were more interested D 200
newspapers have their publication D 144
newspapers having wide circulation D 126
negotiations have been terminated D 114
negotiators must have understood D 112
newspapers gave great prominence D 108
negotiations were more protracted D 106
negotiations till some definitive D 106
negotiations were more successful D 100
negotiations were also undertaken D 100
newspapers call great personages D 94
negotiations over gaming regulations D 86
negotiations break down completely D 86
