heat transformed into work M 1244
her experiences have been M 646
her opportunity came when M 512
her descendants have been M 422
her magnificent dark eyes M 378
her observations gave birth M 316
heat measurements have been M 294
her observations have been M 274
her differently from other M 266
heat measurements were made M 251
her magnificent blue eyes M 236
her expectations have been M 224
her magnificent eyes were M 216
her observations were made M 212
her expectations were high M 206
her lamentations grew loud M 202
her instructions were clear M 200
her understanding even more M 198
her experiences there were M 187
her personality must have M 184
her experiences during those M 178
her accumulated sick leave M 177
her intelligent blue eyes M 172
her inhabitants have been M 162
her conjectures were true M 160
head impatiently from side M 160
her intelligent gray eyes M 154
her differently from what M 150
her professional life from M 140
her professional name from M 138
her magnificent fair hair M 138
her descendants were living M 136
her instructions have been M 130
her differences from other M 128
her competitors from other M 128
her adventurous sons into M 126
her observations were those M 120
her expectations were more M 119
her lamentations just like M 116
her calculations were wrong M 116
her professional life when M 114
her magnificent dark hair M 113
her inhabitants must have M 112
her conversation upon these M 112
her personality have been M 110
her conversation must have M 110
head continually from side M 108
her complicated heart there M 106
her expectations from life M 104
her permanently away from M 102
her institutions have been M 102
her experiences must have M 102
her unreasonable fears only M 100
her lamentations were much M 100
her complicated love life M 100
heat transferred away from M 100
her professional life were M 98
her development have been M 92
her personality upon those M 90
her subconscious must have M 88
her contribution must ever M 88
head comparisons have been M 84
her intelligent dark eyes M 82
her satisfaction came from M 80
head desperately from side M 80
her photographs have been D 756
her compositions have been D 620
her extremities were cold D 498
head frantically from side D 367
her publications have been D 358
her prematurely gray hair D 358
her comfortable living room D 296
her sovereignty over these D 292
her preparations were made D 288
her countenance said much D 235
head rhythmically from side D 224
her countenance even from D 218
her countenance grew pale D 204
her acquisitions were many D 190
her jurisdiction over these D 186
her contractions were coming D 184
head incessantly from side D 184
her odoriferous breath over D 172
her resemblance even there D 168
her nonexistent love life D 156
her sovereignty over life D 154
her temperature went down D 148
her conversation kept pace D 146
her temperature came down D 145
her environment over time D 144
her countenance must have D 140
her schoolmates were having D 132
her preparations were soon D 132
her arrangements were made D 126
her inclinations were like D 124
her frantically beating heart D 124
her countenance bore down D 124
hear frequencies ranging from D 120
her confinement very soon D 119
her prematurely grey hair D 110
her distressingly loud when D 106
her translucent blue eyes D 100
her crystalline blue eyes D 100
her publications range from D 98
her legislature have been D 98
her comfortable rosy face D 98
her photographs were very D 94
her sensibility must have D 92
her pronunciation made even D 92
her affectionate heart have D 92
head ponderously from side D 90
her inquisitive nose into D 88
her enlargement will give D 88
her adversaries having made D 88
her downtrodden shoes were D 86
her misfortunes were three D 84
her remembrance from their D 82
her overcharged young heart D 82
her countenance very heavy D 82
her antecedents have been D 82
head sorrowfully from side D 82
her countenance grew more D 81
