helpless nor forsake nor M 198
helpless and useless and M 196
heedless and unthinking are M 120
hereafter may inhabit that M 112
helpless and passive and M 106
heedless and unthinking man M 106
hereafter that together with M 96
helpless and useless for M 92
hereupon all pledged each M 90
heresies and schisms are D 910
heritage and culture and D 772
heartwood and sapwood are D 644
heredity and variation are D 620
hectares are planted with D 454
heritage and history and D 328
heritage and culture are D 312
heredity and variation and D 276
heredity may account for D 268
heritage they brought with D 262
herdsmen and farmers who D 234
heighten our respect for D 220
heritage and culture that D 217
headlines and stories that D 214
hectares are covered with D 202
heralded his arrival with D 184
heresies and schisms that D 180
heritage for present and D 174
heritage and history are D 164
headaches and insomnia and D 160
heritage and history that D 159
heritage and language and D 156
heresies and schisms and D 154
heredity can account for D 154
heighten our sympathy with D 154
headaches that plagued him D 150
headstrong and general van D 149
heritage and culture was D 146
headlands and islands and D 140
headaches may persist for D 134
heritage and respect for D 132
heritage and because they D 132
heighten and increase all D 128
heretics who claimed that D 126
heretics who believe that D 123
heresies and schisms had D 122
heritage and culture for D 120
herdsmen and farmers and D 120
hectares and account for D 120
headaches that plagued her D 120
headcount and poverty gap D 118
headlines and stories and D 112
headdress was covered with D 112
herdsmen and peasants you D 110
heighten our sympathy for D 110
headlines and subheads are D 110
heritage and culture with D 108
helpless and uncared for D 108
heretics and sinners who D 106
hectares was planted with D 106
heartwood and sapwood and D 106
heritage and believe that D 104
headaches are usually due D 104
heritage and concern for D 102
heretics and witches and D 100
heredity does everything for D 98
heredity and variation was D 98
heralded his arrival and D 98
helpless and forlorn and D 98
heartless and selfish man D 94
heartless and unfeeling and D 92
heartless and selfish and D 92
heretics and witches are D 90
herdsman who climbed with D 90
heartfelt and sincere that D 90
headlands and islands are D 90
heroines are endowed with D 88
headlines and subheads and D 88
heroines had brought with D 84
heredity and obesity are D 84
herdsmen and hunters who D 84
headlight aim exactly for D 84
headaches and trouble with D 84
hesitating and shuffling with D 82
headlines and captions that D 81
hesitate and stammer and D 80
headaches and fatigue and D 80
heighten and improve our D 54
