town government , and M 2736
town authorities , and M 1761
town immediately , and M 1198
town government , but M 755
town boundaries , and M 654
town authorities , who M 637
told afterwards , that M 553
tour information , and M 467
toll collectors , and M 451
town privileges , and M 400
town government , with M 367
town fellowship , and M 339
town immediately , but M 332
town authorities , but M 330
town authorities , for M 254
told everywhere , and M 252
told afterwards , was M 216
town government , for M 207
told afterwards , for M 182
town government , they M 181
told beforehand , that M 180
town properties , and M 166
town university , and M 162
town unobserved , and M 158
told beforehand , and M 158
town government , was M 152
town occupations , and M 143
town background , and M 137
told afterwards , and M 132
town completely , and M 130
toll collectors , who M 130
town afterwards , and M 122
town activities , and M 122
town engagements , and M 120
town congregation , they M 118
tour progressed , and M 118
told grandfather , and M 118
told afterwards , they M 118
town assemblies , and M 112
told immediately , and M 112
town characters , and M 106
town authorities , they M 106
town authorities , was M 104
town government , see M 100
town disappeared , and M 100
town government , are M 98
town authorities , with M 98
told explicitly , but M 94
town boundaries , but M 93
told adventures , its M 92
told afterwards , how M 90
told separately , and M 88
told afterwards , had M 88
told falsehoods , and M 84
town university , who M 80
town separately , and M 80
town government , who M 80
town government , that M 45
toys everywhere , and M 43
