to multiple choice questions M 5060
to distract public attention M 3972
to whatever degree possible M 1954
to maintain normal relations M 1822
to randomly assign subjects M 1660
to identify gifted children M 1542
to practice public accounting M 1538
to disappear almost entirely M 1502
to maintain public interest M 1477
to identify common problems M 1454
to maintain public security M 1334
to overcome market failures M 1286
to frighten little children M 1210
to generate public interest M 1208
to identify common elements M 1180
to identify gifted students M 1176
to everyone without exception M 1160
to maintain public services M 1082
to identify common patterns M 1044
to maintain existing services M 988
to consider common problems M 966
to immediate recall received M 958
to purchase needed supplies M 945
to exercise public authority M 864
to prohibit further transfer M 842
to estimate demand functions M 842
to exercise direct authority M 810
to purchase building materials M 788
to perceive without perceiving M 786
to purchase various articles M 784
to generate enough interest M 770
to exercise greater authority M 756
to maintain proper accounts M 754
to dispense almost entirely M 752
to continue formal education M 752
to discover whether children M 748
to maintain stable relations M 714
to maintain proper relations M 714
to exercise public functions M 674
to discover hidden treasures M 670
to generate random integers M 662
to complete higher education M 656
to maintain direct relations M 650
to essential public services M 650
to exercise almost complete M 634
to maintain existing programs M 626
to continue higher education M 578
to consider special problems M 574
to consider various possible M 572
to identify emerging problems M 570
to maintain fairly constant M 568
to exercise proper judgment M 568
to randomly assign students M 566
to specific design problems M 560
to evaluate training programs M 558
to consider higher education M 558
to external border controls M 556
to purchase another property M 549
to maintain prison security M 546
to exercise better judgment M 538
to evaluate existing programs M 532
to consider another approach M 530
to maintain normal activity M 524
to maintain better relations M 520
to maintain closer relations M 512
to exercise mature judgment M 510
to evaluate whether students M 510
to maintain stable operation M 504
to consider another possible M 502
to estimate market potential M 494
to specific memory locations M 492
to evaluate matrix elements M 490
to practice public relations M 486
to purchase landed property M 481
to overcome common problems M 472
to alienate church property M 472
to discover whether students M 462
to specific disease entities M 456
to allocate scarce materials M 450
to purchase school supplies M 447
to consider various problems M 446
to generate greater interest M 436
to consider public questions M 430
to strengthen public education M 426
to maintain existing patterns M 424
to continue existing programs M 422
to identify causal relations M 420
to dominate higher education M 420
to maintain excess capacity M 418
to overcome various problems M 414
to identify common concerns M 412
to convince myself otherwise M 412
to consider various questions M 408
to overcome existing barriers M 394
to business school students M 378
to complete before proceeding M 376
to discover causal relations M 372
to suppress disease activity M 370
to exercise honest judgment M 370
to strengthen existing programs M 368
to maintain proper positioning M 368
to maintain direct contacts M 368
to identify existing problems M 368
to strengthen higher education M 366
to maintain system security M 366
to maintain proper operation M 366
to maintain enough distance M 360
to distance itself somewhat M 356
to consider before proceeding M 356
to maintain strict controls M 354
to manifest itself whenever M 348
to generate enough business M 342
to families without children M 342
to consider whether children M 340
to hesitate before committing M 334
to challenge agency decisions M 334
to progress without treatment M 328
to overcome existing problems M 326
to alienate almost everyone M 326
to identify future problems M 320
to conceive matter produced M 318
to continue normal operation M 312
to separate itself entirely M 306
to maintain proper accounting M 304
to consider ethical questions M 304
to overcome serious problems M 300
to maintain viewer interest M 300
to consider urgent questions M 298
to maintain normal functions M 296
to increased public interest M 294
to maintain almost complete M 290
to consider before attempting M 286
to progress through education M 284
to maintain proper security M 284
to consider further evidence M 282
to restrict expert evidence M 280
to maintain normal business M 280
to strengthen border security M 276
to generate further interest M 276
to exercise almost absolute M 276
to disappear without treatment M 276
to transfer assets wherever M 272
to randomly select subjects M 272
to discover common patterns M 272
to maintain public morality M 270
to forecast future business M 270
to conserve scarce materials M 270
to randomly assign children M 268
to exercise proper authority M 268
to consider urgent problems M 266
to restrict higher education M 264
to maintain almost constant M 264
to allocate scarce supplies M 264
to purchase needed services M 262
to continue without treatment M 262
to continue normal business M 258
to confront serious problems M 258
to maintain proper distance M 256
to evaluate client progress M 256
to services already rendered M 254
to original source materials M 254
to generate further questions M 252
to moderate aerobic exercise M 250
to maintain existing capacity M 250
to challenge public attention M 250
to frighten unruly children M 248
to maintain closer contacts M 246
to suppress immune response M 242
to discover hidden patterns M 242
to dedicate myself entirely M 242
to maintain decent relations M 240
to specific training programs M 238
to overcome energy barriers M 238
to consider issues concerning M 236
to complete various projects M 236
to strengthen school programs M 234
to purchase another business M 234
to maintain existing relations M 234
to consider before committing M 232
to associate degree programs M 232
to assemble before daylight M 232
to treatment without parental M 230
to maintain normal operation M 230
to identify emerging patterns M 230
to navigate through multiple M 228
to identify various problems M 228
to challenge existing patterns M 228
to generate enough internal M 226
to exhibits should identify M 226
to discover common elements M 226
to materials handling problems M 224
to extended family networks M 224
to consider becoming involved M 224
to religious school students M 222
to delegate greater authority M 222
to consider mutual problems M 222
