to twelve months imprisonment M 1387
to follow after righteousness M 953
to attach undue significance M 590
to become learning organisations M 414
to become fully incorporated M 411
to severe learning difficulties M 410
to manage change successfully M 382
to measure human intelligence M 370
to become equal participants M 348
to attach legal consequences M 344
to aspire after independence M 340
to remain until sufficiently M 314
to ensure close collaboration M 304
to measure adult intelligence M 300
to afford ample accommodation M 300
to expand human consciousness M 294
to decide which technologies M 292
to obtain labor certification M 288
to extend human capabilities M 284
to effect major improvements M 274
to decide which alternatives M 260
to threaten undue concentration M 246
to recall every circumstance M 240
to obtain state certification M 237
to reduce costs sufficiently M 232
to measure fluid intelligence M 230
to assume major significance M 228
to obtain class certification M 218
to become fully knowledgeable M 216
to relate every circumstance M 214
to differ quite considerably M 210
to awaken class consciousness M 208
to afford every accommodation M 208
to extend moral consideration M 204
to remove gross inequalities M 200
to foster class consciousness M 196
to reduce state interference M 194
to become major participants M 194
to forget every circumstance M 190
to remain under consideration M 184
to reduce noise interference M 182
to obtain teaching certificates M 178
to obtain quite satisfactory M 178
to arrange terms satisfactory M 174
to become willing participants M 172
to almost every circumstance M 170
to serious legal consequences M 166
to demand total independence M 162
to afford ample justification M 160
to reduce gross inequalities M 158
to reduce class inequalities M 152
to reduce costs considerably M 148
to attach moral significance M 146
to become fully intelligible M 144
to obtain board certification M 142
to labour under considerable M 142
to choose which technologies M 140
to choose every circumstance M 140
to obtain really satisfactory M 138
to become known collectively M 136
to obtain anything satisfactory M 132
to decide which consequences M 130
to threaten worse consequences M 128
to emerge after independence M 128
to extend human consciousness M 126
to ensure water availability M 126
to effect lasting improvements M 126
to attach legal significance M 126
to secure local improvements M 124
to detail every circumstance M 122
to select study participants M 120
to regard either difficulties M 120
to reduce class consciousness M 120
to obtain large contributions M 120
to issues under consideration M 120
to remain months undiscovered M 116
to expand human capabilities M 114
to suffer legal consequences M 112
to avoiding undue concentration M 112
to reduce local independence M 110
to foster group consciousness M 110
to demand equal consideration M 110
to assume added significance M 110
to resist state interference M 108
to measure field independence M 108
to extend every consideration M 108
to become truly knowledgeable M 108
to assist every intellectual M 108
to remain after independence M 106
to effect local improvements M 106
to serious legal difficulties M 104
to myself alone intelligible M 104
to mention every circumstance M 102
to measure class consciousness M 102
to decide which communication M 102
to secure large contributions M 100
to expect anything particularly M 100
to affect human consciousness M 100
to serious legal complications M 98
to greater class consciousness M 98
to handle people successfully M 96
to handle civil disturbances M 96
to foster child sufficiently M 96
to become quite knowledgeable M 94
to awaken human consciousness M 94
to almost every considerable M 92
to whether either justification M 90
to ensure equal consideration M 90
to normal human consciousness M 88
to effect anything considerable M 88
to another which consequently M 88
to labour under difficulties M 86
to remove legal inequalities M 84
to escape legal consequences M 84
to effect change successfully M 84
to define human intelligence M 84
to assess adult intelligence M 84
to answer which consciousness M 84
to severe breathing difficulties M 82
to become viable alternatives M 82
to regard every circumstance M 80
to decide which modifications M 80
to decide which organisations M 44
to resist every encroachment D 2338
to launch civil disobedience D 1757
to united press international D 1541
to commit civil disobedience D 1252
to reduce social inequalities D 1178
to become learning organizations D 1156
to labour force participation D 1084
to resume civil disobedience D 838
to reduce labor requirements D 776
to ensure equal participation D 726
to design learning environments D 630
to severe learning disabilities D 602
to reduce state expenditures D 566
to ground water contamination D 562
to reduce urban unemployment D 550
to modify child noncompliance D 524
to higher labor productivity D 512
to reduce space requirements D 488
to secure state legislatures D 486
to reduce power requirements D 484
to become truly international D 440
to resist white encroachment D 430
to reduce costs substantially D 430
to measure social intelligence D 418
to ensure broad participation D 408
to define social relationships D 406
to define learning disabilities D 394
to punish every disobedience D 392
to supply local requirements D 380
to crimes under international D 378
to ensure local participation D 374
to remove gross contamination D 366
to couple league international D 352
to higher water temperatures D 350
to remove strong preoccupations D 320
to higher party organizations D 312
to cement social relationships D 310
to revive civil disobedience D 308
to reduce social expenditures D 308
to manage social relationships D 306
to measure labor productivity D 304
to various civic organizations D 302
to drinking water contaminated D 298
to remain under surveillance D 296
to become major contributors D 290
to employ savings productively D 288
to existing power relationships D 282
to foster group cohesiveness D 281
to better working relationships D 280
to permit state legislatures D 272
to govern human relationships D 270
to obtain light amplification D 268
to attend state universities D 264
to obtain money fraudulently D 262
to impose civil disabilities D 262
to render others contemptible D 260
to ensure wider participation D 260
to excite either commiseration D 256
to retain power indefinitely D 248
