jails were full and M 264
japan give away our D 898
japan some years ago D 573
japan many years ago D 515
japan have their own D 448
japan even more than D 320
japan much more than D 310
japan three years ago D 299
japan into line with D 256
japan away from its D 250
japan were less than D 246
japan came into being D 204
japan will lose its D 198
japan have more than D 194
japan went ahead with D 188
japan must open its D 188
japan were more than D 184
japan some time ago D 179
japan five years ago D 179
jaunt will cost you D 174
japan must have had D 172
japan there were two D 166
japan took more than D 154
japan lost more than D 152
japan went from being D 150
japan have been using D 146
japan will take all D 142
japan were used for D 142
japan will some day D 140
japan have dealt with D 138
japan four years ago D 135
jacks were used for D 130
japan will find that D 129
japan will work for D 128
japan there were few D 126
japan have been and D 126
japan went along with D 122
japan have been far D 122
japan will have her D 118
japan were laid out D 118
japan went ahead and D 116
japan will tell you D 114
japan must look for D 114
japan made clear its D 114
japan made clear that D 112
japan were such that D 108
japan sent more than D 106
japan kept pace with D 106
japan will take its D 102
japan must make its D 100
japan must make her D 100
japan took over and D 98
japan sold more than D 98
japan during these two D 98
japan will have its D 96
japan must cope with D 96
japan will think long D 92
japan fall into this D 92
japan laid down her D 90
japan have been doing D 90
japan fall into two D 90
japan will show that D 87
japan will find its D 86
japan will lose her D 84
japan when there was D 84
japan must have its D 84
japan will side with D 82
japan will come out D 69
japan must know that D 51
