japan than anywhere else D 945
japan had attacked pearl D 766
japan was isolated from D 756
japan has recently been D 702
japan had withdrawn from D 510
japan has suffered from D 434
japan has increased from D 328
japan and adjacent areas D 314
japan was excluded from D 304
japan had embarked upon D 234
japan has borrowed from D 226
japan was recovering from D 184
japan was admitted into D 184
japan are conducting their D 178
japan had increased from D 162
japan has withdrawn from D 160
japan had obtained from D 156
japan was provoked into D 150
japan and numerous other D 142
japan for fourteen years D 140
japan has produced some D 136
japan had acquired from D 136
japan has produced many D 134
japan has probably been D 134
jaded and restless from D 132
japan has embarked upon D 128
japan and imported into D 128
japan had suffered from D 124
japan has attacked pearl D 118
japan has recently made D 114
japan had occupied during D 114
japan had borrowed from D 112
japan has imported from D 110
japan and possibly other D 110
japan was imported from D 102
japan has actually been D 102
japan had recently been D 100
japan has received from D 98
japan has increased very D 96
japan had profited from D 96
jaded and harassed mind D 94
japan had actually been D 92
japan was secluded from D 90
japan has increased over D 89
japan was developing into D 86
japan has declined from D 86
japan for eighteen years D 84
japan are excluded from D 84
japan was possible only D 80
japan has remained true D 80
japan has received much D 52
japan has achieved such D 40
