economy showed signs of D 3064
economy slowly began to D 348
economy through which the D 338
ecstasy should count the D 212
economy should serve the D 208
economy without money or D 192
economy should begin to D 184
economy mainly based on D 180
economy without changing the D 176
economy reeled under the D 152
economy became mired in D 150
economy became geared to D 150
economy boomed after the D 148
economy without relying on D 136
economy should never be D 136
economy itself began to D 134
economy without which the D 132
economy itself would be D 124
economy always tends to D 116
economy system based on D 110
economy should focus on D 110
eclipse should occur to D 106
economy firmly based on D 104
economy became based on D 104
economy always loved to D 102
economy toward which we D 100
economy should serve as D 96
economy heavily based on D 94
economy toward which the D 90
economy through which it D 88
economy without running the D 82
economy lasted until the D 82
economy almost equal to D 82
