crying children who had M 82
crop residues and dung D 651
crew reported that they D 384
crow medicine man and D 370
crop failures and low D 345
crew mutinied and set D 344
crop residues are not D 326
crop residues that are D 287
crop failures are not D 237
crew struggle with all D 188
crying bitterly for her D 172
crying subsided and she D 144
crop rotations are not D 135
crew believed that they D 132
crew perished with her D 130
crew believed they had D 128
crow whenever you are D 126
crew mutinied and put D 116
crop residues are fed D 114
crop compared with that D 114
crew declared that they D 114
crop requires for its D 108
cream shortening and add D 108
crop rotations that are D 105
crying bitterly for his D 102
cream flavored with rum D 102
crying bitterly and did D 100
crew probably did not D 100
crop residues and cow D 99
crop residues are being D 98
crow hoarsely but not D 96
crop residues for use D 96
crop rotations and new D 90
crew mutinied and ran D 88
crying piteously for her D 84
crew reported they had D 80
crew remained aft for D 80
