crib away from windows M 118
crew left their country D 622
crow laws were enacted D 286
crew into three watches D 208
crew were just beginning D 194
crew took their stations D 178
crew must have alarmed D 170
crew have been removed D 168
crew must work together D 116
crop from wild animals D 106
crop having been gathered D 104
crew have been drowned D 96
crying into their pillows D 94
crew sold into slavery D 94
crow laws laws enacted D 90
crew fell into hostile D 88
crew were busy preparing D 86
crew were well trained D 80
crew were held hostage D 44
