father came originally from M 410
faced keen competition from M 298
faced heavy competition from M 258
facts take precedence over M 196
faced more competition from M 188
faced less competition from M 184
faced some resistance from M 182
falling from prosperity into M 176
faced some competition from M 176
father feel absolutely safe M 130
falling into dependence upon M 126
faced great resistance from M 102
facts were introduced into M 92
fatty acid composition were D 540
fatty acid metabolism during D 463
fatty acid composition during D 455
fatty acid deficiency during D 314
fatty acid composition from D 295
farms were subdivided into D 274
fatty acid composition have D 272
farms were classified into D 252
fatty acid metabolism have D 245
favor their ascendancy over D 230
fatty acid composition among D 206
falling more frequently into D 194
fatty acid composition data D 168
faces some competition from D 153
fatty acid utilization during D 152
fairs were frequently held D 144
faces keen competition from D 141
fairy tale collections make D 138
fared only moderately well D 132
faces heavy competition from D 130
fatal when introduced into D 126
farms were reorganized into D 122
fatty acid composition will D 116
faced rising competition from D 116
falls into reflections upon D 114
faces their unshackled anger D 112
faces less competition from D 112
faces more competition from D 109
favor some industries over D 106
fatty acid deficiency have D 106
father took precedence over D 104
fatty acid metabolism were D 102
facts have frequently been D 98
fatty acid composition also D 95
falls into dependence upon D 86
falling into convulsions when D 86
facts took precedence over D 84
falls back immediately into D 80
falls from prosperity into D 71
farms were relatively more D 49
falls very definitely into D 44
