favorable than i expected M 306
favorable for a complete M 226
favorable for a surprise M 182
faithfully for a lifetime M 136
favorable for a coherent M 122
favorable for a proposed M 117
favorable for a movement M 100
favorable for a decisive M 92
faithfully for a falsifying M 84
factories with a capacity D 538
falsehood has a perennial D 232
factories with a combined D 225
favourite and a minister D 212
faithfully for a pittance D 206
faculties with a stimulus D 134
favorable for a railroad D 124
falsehood and a flagrant D 110
falsehood with a pedigree D 98
factories for a pittance D 88
favorably with a standard D 87
