fast mutual exclusion algorithm M 510
face serious internal problems M 214
face always remained slightly M 160
fact seemed scarcely surprising M 100
face became saddened directly M 90
facing serious financial problems D 860
facing serious economic problems D 690
face serious financial problems D 670
facing severe financial problems D 588
face serious economic problems D 588
facing severe economic problems D 536
face severe economic problems D 372
face severe financial problems D 253
fast becoming standard practice D 148
facing serious internal problems D 140
facing severe economic hardship D 120
face severe economic hardship D 107
face severe financial hardship D 87
face became suddenly suffused D 80
face became suddenly animated D 53
face serious financial hardship D 52
