disagreements among experts about M 128
differentiated from typhoid fever D 640
differentiated into several types D 326
differentiated from scarlet fever D 306
discrimination suit brought under D 295
differentiated into several parts D 252
discrimination case brought under D 222
distinguishable from similar white D 176
differentiated from gastric ulcer D 160
differentiation from typhoid fever D 158
discrimination when product menus D 142
disintegrated into smaller units D 132
differentiated into several kinds D 122
