died in middle life M 2606
died on active duty M 1559
died in prison from M 1524
died of disease during M 1454
died in prison during M 1350
died of causes other M 1268
died of fright when M 1228
died in battle were M 1126
died of something else M 1058
died in little more M 960
died in battle during M 918
died at eighty years M 678
died in combat during M 620
died of wounds during M 600
died of wounds from M 464
died in prison soon M 458
died in prison were M 408
died in prison there M 407
died of disease were M 406
died of broken heart M 406
died by violent means M 402
died at ninety years M 396
died on monday last M 390
died the second time M 367
died of wounds died M 366
died at younger ages M 356
died at twelve years M 344
died of sudden heart M 341
died the latter part M 324
died no matter what M 299
died in prison three M 292
died in prison some M 288
died in battle when M 282
died in strange sort M 274
dies on active duty M 270
died in battle went M 264
died in twelve days M 260
died at various ages M 254
died of wounds were M 248
died in various ways M 240
died at twenty years M 224
died in prison four M 222
died at eleven years M 222
died of another heart M 221
died in prison when M 216
died to defend their M 214
died of wounds soon M 208
died of sorrow when M 204
dies of broken heart M 201
died in battle there M 197
died of fright during M 196
died of actual want M 192
died of something other M 180
dies of something else M 178
died or fallen into M 176
died at garden city M 170
died of something like M 166
died in something like M 164
dies of fright when M 161
died of bleeding from M 160
died in another part M 160
died he should have M 160
died by violent deaths M 158
died of laughing when M 156
died in eleven days M 152
died by drowning when M 150
died by drowning during M 148
died or became sick M 142
dies it enters into M 136
died to almost nothing M 136
died in battle from M 136
died or something like M 134
died in garden city M 132
dies in battle will M 130
died we should have M 130
died or changed their M 126
died of fright from M 126
died in twenty days M 126
died the second week M 124
died at earlier ages M 124
died in various wars M 120
died in prison just M 118
died as fathers wish M 118
died of disease from M 116
died in combat were M 116
died in another town M 116
died in another city M 116
died of disease when M 114
died in prison early M 110
died he should like M 110
died the better part M 108
died of disease soon M 108
died in active duty M 106
died of mental care M 104
died or fallen sick M 102
died he handed over M 102
died of wounds early M 101
died or whether other M 100
died or became very M 96
dies the border more M 94
died or almost died M 94
died in battle soon M 92
died of sorrow over M 88
died the greater part M 84
died in fearful pain M 84
died in battle only M 84
died in battle must M 84
