died immediately , and M 1766
died immediately , but M 902
dire predictions , and M 574
died completely , and M 486
died afterwards , and M 344
dire predictions , but M 298
dire punishment , and M 246
dire punishment , but M 236
dire misfortune , and M 208
dire calamities , and M 180
dire examination , and M 178
died afterwards , but M 144
dire experience , that M 133
dips vertically , and M 131
died eventually , but M 130
died honourably , and M 118
dire misfortune , for M 116
died eventually , and M 110
dies immediately , and M 108
dire prophecies , and M 106
dire examination , but M 102
died completely , but M 100
dire predictions , they M 94
dies completely , and M 92
dies immediately , but M 90
died helplessly , for M 90
dies eventually , and M 84
