did truly rise again M 1614
did really take place M 1384
die within three months M 1273
did lodge last night M 1070
die within their first M 977
did people talk about M 676
did change their minds M 578
did people feel about M 532
die within three weeks M 517
did people think about M 494
did thirty years later M 486
did exist were often M 468
did forty years later M 455
did print your royal M 429
did quite well until M 420
die under their hands M 390
did fifty years later M 332
did anything worth while M 328
die after their first M 299
did thirty years since M 298
did people know about M 290
dim light from above M 287
did every other woman M 286
dim light from within M 278
did spend many hours M 256
did exist some reason M 254
did anything more about M 248
did seven years later M 245
did utter these words M 244
did occur were often M 242
did every other morning M 238
did really once belong M 236
did quite well under M 236
die seven days after M 226
did every other night M 216
did anything else occur M 212
did exist were small M 210
die within three hours M 209
did eight years later M 206
did spend some money M 202
die seven years later M 192
did quite well after M 184
did sleep last night M 178
did occur more often M 178
did anything take place M 176
die within four months M 172
did until last night M 172
did write some books M 168
did about three times M 168
did enter into force M 166
did cause their hearts M 164
die within nine months M 162
did really well today M 160
did really care about M 158
did rather well under M 156
did about three miles M 156
die within four hours M 154
die within four weeks M 153
did human beings first M 151
did people learn about M 144
die first time since M 142
did exist were either M 141
die daily from hunger M 139
did still care about M 138
did change their names M 138
did change take place M 138
die eight years later M 136
did still take place M 134
did within three months M 132
did raise some money M 130
did change their views M 128
did about three months M 128
did anything else worthy M 124
did write these lines M 122
did occur were small M 120
did write some poetry M 118
did sixty years later M 118
did spend their lives M 116
did occur many times M 114
did after some months M 114
did fight like heroes M 110
did exist even though M 110
did appear were often M 110
did about your father M 110
did spend more money M 108
did anything else about M 108
did agree upon might M 108
die after having lived M 107
did within four months M 106
did until much later M 106
did occur soon after M 104
did either speak until M 104
did abuse their power M 103
die after three months M 102
did spend their money M 102
did anything else which M 102
did women know about M 98
did raise their voice M 98
did raise their hands M 98
did never take place M 97
did exist some legal M 96
die while their minds M 94
did occur during world M 94
did either seem quite M 94
did about three weeks M 94
die within days after M 93
did spread from either M 92
did others feel about M 92
did learning take place M 92
did enter upon about M 92
did cross their minds M 92
die after some months M 90
did write poems about M 90
did truly care about M 90
did again last night M 90
did women feel about M 88
did sleep five hours M 88
did change their lives M 88
did first take place M 86
did enjoy your visit M 86
did cause some delay M 86
did anything much about M 86
did after their first M 86
did after some delay M 86
did about other people M 86
did write these words M 84
did utter those words M 84
did spend some months M 84
did share some basic M 84
did write these works M 82
did reveal much about M 82
did every single night M 82
did really once exist M 80
did decoy your father M 80
die within five months M 42
did occur took place D 596
did moses speak attic D 418
did pitch their tents D 198
did under their broad D 186
did affix their names D 174
did occur there would D 158
did drink four pints D 140
dingy stuff like horse D 129
dig holes into which D 122
did stake their lives D 116
did visit your souls D 108
did occur were minor D 106
did exist there would D 88
did would have taken D 86
