ideological work and everyday M 323
identified what they believed M 304
identified three key elements M 280
identifies three key elements M 202
identified four key elements M 200
identified what they consider M 184
identifies four key elements M 180
identified five key elements M 170
identified their own personal M 160
identified from this analysis M 156
identified early and provided M 112
identified three key problems M 106
identifies five key elements M 102
identified during his lifetime M 102
identified what she believed M 86
identified from this locality D 168
identified what they regarded D 98
identified early and referred D 84
