rot for a week M 40
rob and i were D 2000
rod has a length D 1698
rod and a half D 1248
rod with a hook D 1098
rob and i have D 770
rod with a knob D 705
row with a single D 661
rod with a single D 581
rod and i were D 574
rod with a length D 562
rod has a mass D 489
rod with a silk D 482
row and a half D 477
rob and i went D 452
rod and a reel D 449
rod with a heavy D 442
row and a single D 440
rob and i will D 414
rod and a line D 406
rod with a ball D 401
rod with a flat D 400
row with a null D 378
rod and a cone D 348
rod with a hole D 300
rod with a pair D 294
rod with a reel D 286
rod with a fine D 257
rod and a pair D 234
rod with a loop D 232
rod and i have D 228
rod with a drop D 214
rod and a single D 210
rod and a fine D 210
rod with a very D 208
rob was a good D 206
rod and a heavy D 202
row with a very D 198
rod with a wire D 196
rod with a line D 190
rod with a mass D 184
rod and i will D 184
rod with a soft D 176
rod and a good D 176
row that i have D 171
rob and i took D 168
row with a fair D 165
row has a very D 160
rod with a cloth D 160
row was a young D 158
rod with a thick D 158
rob for a living D 157
row with a half D 154
rod with a spring D 151
rod and i went D 148
row with a pair D 144
rod for a fool D 144
row has a single D 142
rod with a finger D 141
rod with a worm D 138
rod that i have D 136
rod and a silk D 130
rod with a good D 128
rod and a turf D 126
rod has a hole D 122
rod and a fish D 122
rob was a very D 122
rod with a string D 120
rod with a high D 118
rod with a disc D 118
row was a very D 116
rod with a clean D 114
rod with a free D 113
row with a full D 112
rod and a book D 112
rod with a well D 111
rod with a thread D 110
rod with a fast D 109
row and i have D 108
row and a third D 107
row with a young D 104
row for a single D 104
rod with a bent D 104
rod with a cone D 102
rod and a string D 102
row with a wide D 100
rod with a disk D 100
row for a time D 96
rod with a semi D 96
rod and a tiny D 96
rob and i made D 96
rod and a flat D 93
rod was a good D 92
row with a girl D 90
rod with a grip D 90
rod and a wash D 90
row with a good D 88
rod was a very D 88
rod and a very D 86
rob has a grey D 86
row with a plow D 84
row out a mile D 84
row and a good D 84
rod for a time D 84
row that i ever D 80
row with a zero D 56
row with a great D 56
row with a will D 52
rod with a pine D 51
row for a mile D 46
row and a zero D 43
row and i will D 42
