rotations are carried out M 362
routines and rituals that D 734
routines are carried out D 518
routines and rituals are D 454
robotics and traffic and D 244
routines and rituals and D 228
romantic and sublime than D 162
routines and rituals may D 160
romances are written with D 144
rosaries and crosses and D 126
routines and rituals for D 114
routines are written for D 110
romances was founded are D 110
routines for producing things D 104
routines and rituals can D 104
rosemary and laurels dead D 90
romances and legends and D 86
roadside now between this D 84
rootlets are covered with D 80
