swimming probably does not M 88
sweeping movement with his D 539
sweeping gestures with his D 488
sweeping assertion that all D 350
switch intended for use D 316
switch designed for use D 178
swishing trolleys and his D 160
swayed slightly and then D 148
switch suitable for use D 132
sweeping gestures with her D 129
sweeping movement with her D 125
switch contacts that are D 118
switch contacts are not D 117
switch provided for this D 116
swayed slightly and his D 102
swedes attacked him and D 100
sweeping assertion that they D 92
