swapped one of his M 148
swollen out of all D 1978
swollen that it was D 1928
swiftly that it was D 1814
sweeter than the song D 1077
swollen and he was D 949
swiftly that he had D 884
swallow them up and D 844
sweeter than by day D 822
swiftly that he was D 792
swollen that he was D 784
swallow all the air D 714
swiftly than he had D 706
swollen and he had D 672
swallow him up and D 664
swelled out of all D 658
swooped her up and D 650
swiftly that no one D 641
sweeter than the day D 636
swiftly out of his D 620
swallow all of them D 612
switching them on and D 584
switching off the set D 569
swiftly that the eye D 552
swollen head of his D 533
swollen and it was D 523
swallow one or two D 522
swollen that he had D 510
sweetly that it was D 496
sweeter than he had D 482
swallow her up and D 462
swiftly than it had D 460
sweeter than the one D 460
swallow his or her D 438
swiftly out of her D 416
swollen with the heat D 406
swollen with the long D 400
swiftly put an end D 386
swerved out of his D 356
swamped her as she D 350
sweeter than it was D 345
swiftly and it was D 334
swallow you up and D 326
sweeter than it had D 325
swallow one of them D 313
swallow one of his D 307
swiftly than it did D 304
swelled day by day D 302
sweeter than the red D 290
swiftly than we can D 284
switching and the use D 280
swallow them if they D 278
swallow any of that D 275
sweeter than thy dying D 267
swooped him up and D 264
sweetly that he was D 264
sweetly all the day D 262
swerved out of its D 260
swifter than he now D 258
swallow him up for D 258
swimmer that he was D 255
swallow you in one D 252
swollen and the seat D 246
swiftly and so far D 244
swollen bud of her D 240
swiftly that he did D 240
swifter than the eye D 240
swifter than the wings D 238
swelled with the joy D 234
swallow them up for D 234
swelled out of her D 232
swerved off the path D 220
swollen that it can D 216
swallow day by day D 216
swallow all of this D 214
swelled out of his D 208
sweeter than the old D 208
swiftly for the eye D 206
swellings may be due D 204
swelled with the heat D 202
swollen than it had D 200
swollen all the way D 196
swallow them up with D 196
swifter than it had D 188
swollen out of its D 186
swiftly led the way D 186
swiftly all the six D 186
sweetly singing in his D 186
swallow them in one D 184
sweetly than in any D 182
swelled all the way D 178
swallow him up with D 174
sweeter than it did D 172
swifter than he had D 170
swelled and he was D 170
swiftly that we can D 166
swiftly all the way D 166
sweeter day by day D 166
sweeter than to see D 165
swollen that he can D 164
swifter than he that D 163
sweeter for the dead D 162
swallow any thing that D 160
swollen arm or leg D 159
swollen that we had D 158
swifter than the sun D 158
swollen tip of his D 156
swifter than the elk D 156
sweetly than he had D 156
swollen and the eye D 155
swatted him on his D 154
swollen out of his D 152
swallow one of its D 151
swiftly that we are D 150
swelled out to that D 150
swarmed out to see D 150
swallow them as they D 150
swelled out on his D 148
swallow him in its D 148
swallow any of this D 148
swollen nub of her D 146
swiftly put to death D 146
swifter than it was D 146
swiftly than if they D 144
sweeter than it has D 144
swallow you at one D 144
swollen with the wet D 143
switching off the gas D 142
swiftly that he can D 142
swallow them at one D 142
swollen that it had D 141
swindle her in this D 140
swiftly that it has D 140
swimmer and so was D 138
sweetly that he had D 138
sweeter than the new D 138
swallow him in one D 138
swimmer and he was D 136
sweaters for the red D 136
swollen tip of her D 135
switching off the heat D 134
switching off the beam D 134
swallow any thing but D 134
swallow all of that D 134
