extreme intellectual subtlety and M 102
excited considerable interest and D 823
exporting agricultural products and D 565
excited considerable attention and D 335
exerted considerable pressure for D 246
exchange agricultural products for D 168
exchanging agricultural products for D 162
exports agricultural products and D 144
excited considerable curiosity and D 138
extending unemployment benefits and D 120
expanding international economic and D 101
excited considerable interest both D 93
excited considerable attention both D 42
