act comes into force M 48014
act shall have power M 2051
act shall also apply M 1140
act shall only apply M 1000
act shall take place M 781
act within three months M 701
act which brings about M 662
act could take place M 498
act under such state M 462
act which will cause M 424
act within such local M 258
act which gave power M 156
act shall have force M 144
act which such first M 142
act shall have taken M 128
act which gave local M 118
act which lies within M 114
act under some given M 114
act could have taken M 112
act within their legal M 110
act staying such trust M 110
act could only serve M 108
act which will allow M 98
act might take place M 98
act which gave women M 96
act might have taken M 95
act could have given M 94
act apart from anything M 94
act which came within M 92
act which gave legal M 88
act seven years later M 88
act which many people M 86
act which most people M 82
act within such period M 53
act which took place D 1375
act would have given D 551
act would take place D 498
act would have bound D 280
act would have taken D 216
act would also apply D 186
act which robs others D 156
act grown great thence D 145
act which some court D 136
act would fall under D 118
act would fall within D 112
act plays were given D 106
act under laws which D 104
act would only apply D 98
act never took place D 98
act would only serve D 94
act would have shown D 92
act within their social D 91
