satisfying human desires and M 96
sagacity which enabled him D 1035
salivary gland function and D 550
sardonic smile twisted his D 334
sandwich glass company and D 230
salutary warning against that D 224
sandwich glass company was D 210
sardonic smile touched his D 190
sardonic smile crossed his D 164
sanitary sewer systems and D 158
sanitary sewer systems are D 154
sameness within oneself and D 146
sanctions which congress has D 138
sagacity which enabled them D 126
salinity units saltier than D 118
salivary gland cancers are D 114
sanctions taken against them D 112
sagacity which enables them D 96
sanctions which support them D 90
