situation arising from scarcity M 538
situation could have occurred M 420
situation still more critical M 406
simplest words must intimate M 386
situation which will confront M 340
situation might have occurred M 336
situation might have improved M 332
silently about their business M 328
situation could have resulted M 324
situation might have resulted M 320
situation might have remained M 310
situation which made possible M 302
situation which will probably M 264
situation until very recently M 212
situation which will continue M 188
situation might have produced M 178
situation still more dangerous M 170
silently apply their business M 170
situation grows more critical M 144
situation never once occurred M 142
situation could have happened M 140
situation might have rendered M 132
situation which have occurred M 126
situation where some students M 126
situation where many children M 96
situation might seem hopeless M 92
situation might have inspired M 88
situation could have produced M 88
situation might have provided M 84
sixteenth world health assembly D 1497
situation would have resulted D 746
situation would have remained D 544
situation would have improved D 500
situated about three quarters D 492
situation would have required D 450
situation would have occurred D 402
situation would make possible D 236
situation would have produced D 230
situation would have believed D 202
situation would have worsened D 194
situated within such district D 156
situation would have provided D 154
situation would have involved D 146
situation would have obtained D 138
situation would have resolved D 136
situation would have rendered D 134
situation would have afforded D 134
situation would have demanded D 122
situation where your opponent D 122
situation would have accepted D 120
sickness would have detained D 106
situation would most probably D 104
situation would have resented D 104
situated within their district D 102
situation where such offenses D 94
situation still more delicate D 94
situation would have affected D 86
situation still more perplexing D 86
situation where city officials D 84
situation would have received D 82
situation would have probably D 80
