sixteen years have elapsed M 1142
signals from other sources M 651
signals from many sources M 416
signals from cell surface M 348
signals have been studied M 336
sincere good will towards M 290
signals coming from outside M 260
signals from other vehicle M 254
signals have been removed M 244
silence grew more intense M 242
silence must have appeared M 232
sisters from their brothers M 230
signals have been measured M 216
signals have been applied M 208
similar ideas were current M 206
simpler into more complex M 204
similar fate only because M 202
similar data were gathered M 200
sisters have been married M 192
signals from other devices M 190
signals have been repeated M 186
signals from more distant M 179
silence came upon material M 176
signals have been defined M 176
sisters were also married M 170
signals from some distant M 166
signals from these devices M 164
sisters love their brothers M 162
signals from their parents M 156
sixties there were several M 155
signals from these sources M 154
signals from other systems M 152
signals from these moments M 146
signals from other species M 143
sisters were living together M 138
signals have been carried M 134
signals have been devised M 132
similar kind were carried M 128
similar data from several M 128
signals from other vessels M 128
similar rule also applies M 126
signals have been adopted M 122
similar means were adopted M 120
sisters when their parents M 114
silence during their journey M 114
similar aims were pursued M 110
sisters have been brought M 104
signals from such devices M 104
signals from other members M 102
sisters were well brought M 100
signals from very distant M 100
silence came down between M 96
silence during some minutes M 88
signals have been ignored M 86
signals from moving objects M 86
signals coming from several M 86
silence fell over everything M 84
sisters were very unhappy M 80
signals from other neurons D 2326
similar laws were enacted D 1784
signals back into digital D 1028
similar laws were adopted D 672
signals from these sensors D 540
silence once more reigned D 389
silicon have been studied D 380
signals from other stations D 379
sisters into their saddles D 308
signify much what becomes D 262
sisters sink into merited D 258
signals into audio signals D 252
signify unto your majesty D 246
similar laws have existed D 210
silence once more settled D 205
sinners have been brought D 192
signals from radio stations D 168
sinners among their tenants D 166
signals from other planets D 156
signals from these stations D 146
silicon have been measured D 142
signals have been sampled D 142
similar data from previous D 126
signals from other sensors D 116
sippers were many familiar D 114
silence hangs from horizon D 112
signals from many neurons D 106
signals from moving targets D 96
signals coming from sensors D 94
sightings have been claimed D 94
signals from base stations D 86
sisters were very excited D 45
