misjudged their strength and M 82
ministers were turned out D 1144
ministers also agreed that D 977
millstone tied around his D 830
migratory fish stocks and D 611
ministers were agreed that D 508
ministers were blamed for D 420
militants were killed and D 410
ministers were anxious that D 378
ministers were driven out D 330
ministers were afraid that D 322
ministers have agreed that D 299
militiamen were killed and D 282
ministers were anxious for D 254
ministers were treated with D 252
militiamen were called out D 241
ministers were almost all D 228
ministers were forced out D 208
ministers were pleased with D 204
ministers were sought for D 200
ministers were filled with D 198
ministers have thought fit D 194
ministers must answer for D 180
ministers also called for D 180
ministers were chosen for D 166
missionary work abroad and D 162
ministers have served this D 162
miscreants were outrun and D 154
missionary work amongst them D 152
microwave theory bailey and D 150
minstrels were regaling his D 146
ministers have stated that D 137
missionary tour through that D 136
ministers have argued that D 134
missionary work should not D 130
ministers were chosen and D 130
ministers were chosen with D 122
minimizes soil erosion and D 119
migratory bird center and D 116
migrations meet across you D 116
miserable huts filled with D 114
ministers will advise him D 114
ministers have always had D 114
missionary having doomed him D 113
migrations from eastern and D 110
migratory fish stocks was D 109
miserable monk faster than D 108
ministers were warned that D 107
minutemen were killed and D 104
ministers were seized and D 96
migratory bird refuge and D 95
ministers were aspiring and D 90
ministers from office and D 90
ministers were merely his D 88
ministers were pressing for D 80
