obeys authority does so M 216
obese patients and in D 1008
obese patients may be D 643
obese patients are at D 587
obese subjects than in D 426
obese patients can be D 398
obese patients than in D 396
obese children are at D 339
obese children may be D 248
obese subjects and in D 230
obese patients with the D 202
obese patients and the D 201
obese patients due to D 180
obese subjects with the D 179
obese subjects may be D 178
obese children than in D 172
obese patients with an D 166
obese patients and is D 164
obese patients who do D 155
obese subjects and the D 136
obese patients with or D 114
obese children and the D 114
