being practically free from M 1483
being transformed into other M 881
being transferred from their M 722
being transported away from M 670
being transferred away from M 644
being transformed into what M 640
being transported from their M 550
being transformed into more M 484
being interpreted taking into M 460
being transferred from other M 436
being transformed back into M 434
being distributed over many M 414
being transported back into M 396
being transformed into some M 389
being transformed into work M 374
being transferred there from M 340
being transformed into their M 322
being distributed among many M 312
being distributed among other M 276
being inseparable from their M 268
being continually worn away M 244
being necessarily very much M 242
being distributed among those M 236
being discouraged from taking M 228
being interrupted from time M 222
being accelerated from rest M 214
being transferred back into M 206
being discouraged from making M 196
being transferred from your M 192
being transformed into such M 190
being transferred from hand M 182
being distributed into four M 177
being accelerated away from M 170
being inseparable from body M 168
being transformed into life M 161
being transformed into pure M 153
being transformed over time M 138
being transformed into high M 138
beg forgiveness from those M 137
being transformed into good M 134
being transferred into other M 134
being transformed into love M 132
being transformed into bone M 132
being transferred from ship M 132
being indifferent what rule M 128
being established more early M 126
being distributed into three M 124
being transferred from some M 120
being distributed among their M 120
being accelerated gain their M 120
being distributed among three M 118
being inseparable from those M 110
being transformed into free M 108
being transformed from their M 108
being transferred here from M 108
being transformed into living M 106
being continually lost from M 106
being continually eaten away M 106
being transformed into those M 104
being transformed into mass M 102
being transferred from jail M 102
being transported over land M 100
being distributed among four M 98
being constructed next door M 98
being distributed among some M 94
being transferred back from M 92
being discouraged from their M 92
being discouraged from coming M 92
being distributed from there M 91
being transformed from what M 90
being distributed over four M 90
being transported into some M 88
being indivisible will make M 88
being independent from their M 88
being distributed among more M 88
being transferred into their M 84
being transferred into some M 84
being transformed into great M 82
being transferred into your M 82
being significant only when M 82
being interrupted only during M 80
being transported from south M 50
being transferred from there M 44
being transformed into three M 42
being transformed into self M 42
being continually made over M 41
being distinguished from other D 1272
being distinguished from those D 860
being convertible into gold D 503
beam experiments have been D 400
being temporarily away from D 305
beam microscopes have been D 270
being distinguished from their D 246
beat mercilessly down upon D 243
being apprehended from having D 220
being replenished from time D 218
being emancipated from their D 198
being distinguished from many D 180
being transformed into mere D 172
being disciplined into making D 162
being convertible into cash D 160
being obstinately bent upon D 158
being assimilated into their D 142
being transformed into gold D 118
being convertible into coin D 112
being assimilated into other D 110
being transferred from fort D 108
being transformed into coal D 106
being distinguished from what D 100
bear transplanting very well D 96
being perceivable only during D 94
beam intensities have been D 94
being transformed from mere D 92
beam instruments have been D 92
being equidistant from food D 86
being transmitted from mouth D 80
bear confinement very well D 50
being temporarily shut down D 41
being manipulated into giving D 41
