dualism and mass consumption D 816
duration and other properties D 154
durable and most inveterate D 154
duration has been determined D 152
durable and more attractive D 150
dullest and most disheartening D 148
duration has been calculated D 140
dullest and most prejudiced D 140
dullest and least justifiable D 128
dullest and most phlegmatic D 120
dullest and most mechanical D 112
durable and firm friendship D 108
dullest and most melancholy D 108
duration and other parameters D 96
durable and more economical D 92
duration has been considered D 88
dullest and most monotonous D 88
duchess had been accustomed D 80
