during temporary absence from M 176
dust particles emanating from D 341
during pregnancy results from D 220
during pregnancy because there D 214
dust particles ejected from D 176
dust particles derived from D 175
during pregnancy depends upon D 138
duty expressly imposed upon D 130
duke studiously avoided even D 122
during pregnancy because their D 116
dust particles released from D 111
during pregnancy increase their D 110
duly certified extract from D 106
dust particles emitted from D 95
dust particles inhaled into D 92
duke expressed himself very D 84
