dusky children think that D 290
dummy variables were not D 270
dutch settlers from new D 210
dutch demanded what they D 140
dutch settlers were not D 118
dummy variables such that D 111
dummy variables were then D 101
dutch republic were not D 96
dummy variables used for D 89
dutch republic there was D 88
dusty loveless eyes and D 88
dutch merchant ship and D 86
dutch republic during its D 84
dutch republic took its D 80
dummy variables show that D 67
dummy variables along with D 51
dutch families from new D 40
