dullness may be present M 128
duodenum and the pancreas D 1769
duodenum and the jejunum D 1470
duodenum and the stomach D 1047
duodenum and the hepatic D 434
duodenum near the pylorus D 412
duodenum and the ascending D 249
duodenum and the pylorus D 233
durations are as follows D 202
duodenal than in gastric D 198
duodenum head of pancreas D 157
duodenum and the inferior D 152
duodenum and the superior D 142
duodenum and the pyloric D 138
duodenum may be divided D 136
duodenum and the anterior D 136
duodenum with the jejunum D 135
durations can be reduced D 122
durations can be measured D 116
duodenum and the beginning D 113
duodenum and the gastric D 102
duodenum with the pancreas D 91
duodenum near the pyloric D 84
duodenum due to chronic D 43
