knowingly having had in M 544
knowingly made use of M 512
knowingly make use of M 406
knowingly made with the M 400
knowingly done with the M 180
knowingly gets rid of M 164
knowingly dealing with the M 144
knowingly making use of M 124
knowingly dealt with the M 112
knowingly sell any of M 110
knowingly made for the M 92
knowingly from one to M 82
knocked down with the D 3458
knocked down and the D 3132
knocked down one of D 3070
knocked down all the D 2676
knocked over one of D 2572
knocked clean out of D 1830
knocked hell out of D 1820
knocked over and the D 1454
knocked down for the D 1440
knocked down two of D 1146
knocked over all the D 766
knocked down two or D 602
knocked away and the D 570
knights from each of D 568
knights were put to D 534
knocked over with the D 522
knuckle down and do D 458
knocked there was no D 370
knights went out to D 370
knocked clear out of D 360
knocked over two of D 358
knocked away one of D 336
knocked down with an D 334
knights were not to D 300
knights were going to D 288
knights were not the D 284
knocked down and so D 278
knocked into one to D 272
knights came out of D 272
knights rode out to D 270
knights from all the D 268
knocked down but we D 255
knights drew near to D 244
knocked down and he D 232
knocked down one or D 231
knocked into one of D 226
knuckle along near the D 225
knocked down one by D 211
knocked over two or D 200
knocked down all of D 198
knights rode out of D 196
knights took him at D 184
knocked down and in D 176
knights were men of D 174
knights were not in D 168
knocked clean off the D 166
knocked down and we D 164
knocked from him by D 156
knocked down with my D 148
knights took one of D 148
knitted brow and the D 143
knocked into him by D 142
knocked down both the D 140
knights were not so D 138
knights rode off to D 138
knocker there was no D 132
knocked down and it D 130
knocked down and is D 130
knocked heads with the D 128
knocked down near the D 126
knocked over was the D 120
knocked down for it D 120
knocked away all the D 120
knotted rope and the D 117
knocked from her as D 117
knocked half out of D 116
knights fast with the D 112
knocked back and the D 110
knights were put in D 110
knights went off to D 110
knocked down and my D 108
knocked over and he D 107
knocked down out of D 106
knocked away and he D 106
knights came out to D 106
knocked upon with the D 104
knocked over all of D 104
knocked into them by D 104
knocked into one by D 104
knocked over and it D 103
knocked heads with it D 100
knocked down and to D 98
knocked back with the D 98
knights ride out to D 98
knowingly over one ear D 96
knocked once and the D 92
knocked from one of D 90
knocked down with it D 90
knights drew them to D 88
knocked into one in D 84
knuckle down and we D 83
knocked down that he D 82
knocked away one by D 82
knights were led by D 82
knights came with my D 82
knocked down for an D 80
knocked down six or D 60
knotted rope with the D 46
