kneeling where there was M 88
knight would have had D 486
knight whose name was D 418
knocking people down and D 360
knight smote down sir D 348
knocking about here and D 282
knight sprung from his D 274
knight looks upon with D 222
knocking about from one D 196
knight might speak one D 170
knight where fame was D 146
knocking about here for D 130
knocking people down with D 122
knocking others over for D 118
knight would have his D 114
knocking ashes from his D 108
knight could make any D 106
knocking about like this D 96
knight sprang from his D 94
knight would hold you D 90
knight could keep his D 86
knight whose lady has D 84
knight grown grey with D 84
knocking nails into his D 82
knight would give him D 82
knight leaped from his D 82
knight would take any D 80
knight would send him D 80
