lamentable change from that M 140
lamentation about these things M 82
laboratory tests show that D 3578
laboratory tests there are D 517
landowners whose land was D 430
laboratory tests have not D 387
laboratory tests used for D 383
laboratory tests were not D 371
landowners owned more than D 294
laboratory where there are D 266
laboratory tests other than D 228
landowners whose land had D 214
laboratory where there was D 194
laboratory tests were run D 190
laboriously working their way D 188
landowners would have had D 156
landowners owned less than D 156
laboratory white rats each D 154
laboratory tests will not D 149
laboratory tests were all D 142
landscapes where there are D 128
landowners whose land has D 128
laboratory which show that D 122
landowners holding more than D 104
laboratory which deals with D 98
landowners farming their own D 90
landowners whose land they D 88
laboratory tests along with D 88
laboratory tests made with D 83
laboratory method used for D 42
